% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2021
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2021 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2021, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
198812	 -0.02431808	  0.00221793	 -0.04444234	
198901	  0.01842500	  0.07450453	 -0.00165920	
198902	 -0.00261030	  0.01258123	 -0.00456775	
198903	  0.00049190	  0.00653775	 -0.00865838	
198904	 -0.02148396	 -0.00375392	 -0.01977793	
198905	  0.04337706	  0.04784365	 -0.03820612	
198906	 -0.00150094	  0.00055812	  0.07318250	
198907	  0.01777991	  0.02425949	  0.03079457	
198908	 -0.08467239	 -0.05384041	  0.00659580	
198909	  0.02786316	  0.01529426	 -0.04839777	
198910	 -0.15749531	 -0.11324891	  0.02607578	
198911	 -0.00979964	  0.01570545	 -0.02504374	
198912	 -0.02131812	  0.00900100	  0.02053414	
199001	 -0.02371547	 -0.00621780	 -0.03457354	
199002	 -0.00493618	  0.02535523	 -0.03002814	
199003	 -0.02227970	  0.03502040	 -0.02598953	
199004	  0.00903327	  0.00822884	  0.05816795	
199005	  0.01200611	  0.01064825	 -0.00646495	
199006	  0.00178264	 -0.00415065	  0.02555087	
199007	 -0.02635311	 -0.01653489	  0.05100865	
199008	  0.02512102	  0.00331990	  0.04465373	
199009	 -0.01568082	  0.05724321	  0.01983949	
199010	  0.05201194	  0.04888166	 -0.01340604	
199011	  0.02180100	  0.00714697	 -0.01164781	
199012	 -0.05574597	 -0.03053982	 -0.03404481	
199101	  0.03895971	  0.02220850	 -0.09445254	
199102	 -0.02117548	 -0.03827155	 -0.01952056	
199103	 -0.02611774	 -0.02600490	 -0.00698394	
199104	  0.00646525	  0.04361447	  0.01757126	
199105	 -0.00602298	  0.00011226	 -0.01097174	
199106	  0.04170756	  0.04902486	  0.03000179	
199107	 -0.00135326	  0.00290371	  0.01557993	
199108	 -0.01695233	 -0.02153434	 -0.01601040	
199109	 -0.01442521	  0.01590737	  0.01147226	
199110	 -0.02169450	  0.01998006	  0.02148354	
199111	  0.02615505	 -0.00295078	  0.04268530	
199112	 -0.05322488	 -0.07387620	 -0.04975020	
199201	 -0.06539798	 -0.04295063	 -0.07488177	
199202	 -0.03882487	  0.01187280	 -0.05000811	
199203	 -0.03465568	  0.02179668	 -0.00041515	
199204	  0.03518324	  0.04564244	 -0.00469220	
199205	  0.00132677	  0.05058828	 -0.00143516	
199206	  0.06758642	  0.00800719	  0.01826110	
199207	 -0.05001814	 -0.05240490	  0.02365128	
199208	 -0.00621343	 -0.00267416	  0.05068542	
199209	  0.01457686	  0.03277081	 -0.02260095	
199210	 -0.05938488	 -0.05420815	 -0.01937455	
199211	  0.00064743	  0.03136807	 -0.05084703	
199212	  0.00997526	  0.02363434	 -0.02983846	
199301	  0.01066853	  0.04034226	 -0.01201289	
199302	 -0.03033631	 -0.01025638	  0.06236053	
199303	 -0.03524115	 -0.00733793	 -0.03747903	
199304	  0.00905305	  0.03760098	 -0.01379561	
199305	 -0.01625729	  0.00931739	  0.03466957	
199306	 -0.01856489	  0.00915068	 -0.03491807	
199307	 -0.01795869	  0.00880611	 -0.01324547	
199308	  0.04142405	  0.02516847	  0.01284106	
199309	  0.02295099	  0.03630458	 -0.07445304	
199310	  0.00044278	  0.01405735	  0.03208663	
199311	  0.00701532	  0.02073198	  0.04998252	
199312	  0.04816587	  0.02946739	  0.01614878	
199401	  0.03945276	  0.06958642	 -0.00324173	
199402	 -0.05118445	 -0.03996173	  0.00873348	
199403	 -0.01754406	 -0.01143819	  0.02580259	
199404	 -0.07560195	 -0.05267468	  0.00561683	
199405	 -0.04146914	 -0.00204264	  0.03170384	
199406	 -0.07876295	 -0.03611315	  0.00006866	
199407	  0.01170539	  0.06218131	 -0.00852911	
199408	 -0.01712680	  0.03548263	  0.00632528	
199409	  0.02057847	  0.01562103	  0.03183037	
199410	  0.02948730	  0.03151357	  0.01108546	
199411	 -0.01550632	 -0.04709407	 -0.02217630	
199412	 -0.03463670	 -0.01362795	  0.01866498	
199501	  0.02206376	  0.06068910	 -0.03116726	
199502	  0.02359710	  0.02419002	 -0.02682658	
199503	  0.00997819	 -0.01349491	  0.00985672	
199504	  0.03159925	  0.04962062	  0.00323005	
199505	  0.00549143	  0.00973891	 -0.01178502	
199506	 -0.02606348	 -0.03733587	 -0.00551905	
199507	 -0.00492064	  0.00989965	  0.03955352	
199508	 -0.00307188	  0.01933705	 -0.02138460	
199509	 -0.02972287	 -0.02655718	 -0.07687102	
199510	 -0.00932857	  0.00436611	  0.03752280	
199511	  0.03077631	  0.05725405	  0.00921387	
199512	 -0.06585245	 -0.03054573	 -0.01631356	
199601	 -0.02406434	 -0.00959948	  0.02852797	
199602	  0.02437703	  0.07098067	  0.00964349	
199603	 -0.05198898	 -0.04542246	 -0.01158013	
199604	 -0.02575378	  0.01643478	 -0.03273056	
199605	  0.01231168	  0.02350217	 -0.01011010	
199606	 -0.01043103	 -0.01149315	 -0.04785969	
199607	 -0.03805803	 -0.01578342	 -0.03919239	
199608	  0.06257344	  0.09033789	  0.00682659	
199609	 -0.00120862	 -0.01795360	 -0.03212940	
199610	 -0.01304696	 -0.03772226	 -0.02184299	
199611	 -0.00762476	 -0.01323636	  0.02313479	
199612	  0.01492212	  0.02427102	 -0.02164940	
199701	 -0.01805322	  0.04856120	 -0.02843271	
199702	  0.00010695	 -0.01772303	 -0.03056509	
199703	 -0.00914433	  0.01507302	  0.01362363	
199704	  0.01870290	  0.02035579	  0.08775789	
199705	  0.02624563	  0.04099528	  0.00800034	
199706	 -0.00984361	 -0.00681934	  0.00382522	
199707	 -0.00843406	  0.00049315	  0.01570858	
199708	 -0.05685736	 -0.01197465	 -0.01724692	
199709	 -0.02726881	  0.03269980	 -0.01502329	
199710	 -0.17045339	 -0.11014849	  0.01982109	
199711	  0.02225625	  0.07120815	  0.07818389	
199712	 -0.02601744	  0.03084278	  0.03538202	
199801	 -0.04385878	 -0.07370212	  0.03098841	
199802	 -0.12011072	 -0.00117435	  0.04998641	
199803	 -0.05901035	 -0.00755421	 -0.03167249	
199804	  0.04140759	  0.09594602	 -0.02072274	
199805	  0.00691948	  0.01363995	 -0.00535602	
199806	 -0.04217002	 -0.03169037	  0.01675034	
199807	 -0.05127160	  0.00499327	  0.01071449	
199808	 -0.05158333	  0.01130725	 -0.02735748	
